index,word,a,b,c
0,а,0.0,0.5,-0.6931471805599453
1,абсолютно,0.1,0.1,0.0
2,авейру,0.0,0.1,-0.1823215567939546
3,автобус,0.3,0.2,0.1451820098444979
4,азарт,0.0,0.1,-0.1823215567939546
5,айс,0.0,0.1,-0.1823215567939546
6,акинфеев,0.0,0.1,-0.1823215567939546
7,аккуратно,0.1,0.0,0.1823215567939546
8,аккуратность,0.1,0.0,0.1823215567939546
9,аксессуар,0.1,0.0,0.1823215567939546
10,активность,0.0,0.1,-0.1823215567939546
11,активный,0.0,0.2,-0.3364722366212129
12,актуальный,0.0,0.1,-0.1823215567939546
13,акционер,0.0,0.1,-0.1823215567939546
14,американский,0.2,0.0,0.3364722366212129
15,аморальный,0.1,0.0,0.1823215567939546
16,анализировать,0.0,0.1,-0.1823215567939546
17,англия,0.2,0.2,0.0
18,аргентинский,0.0,0.1,-0.1823215567939546
19,армани,0.1,0.0,0.1823215567939546
20,аршавин,0.0,0.1,-0.1823215567939546
21,аспект,0.0,0.1,-0.1823215567939546
22,ассортимент,0.1,0.0,0.1823215567939546
23,ассоциироваться,0.2,0.1,0.15906469462968728
24,атаковать,0.0,0.1,-0.1823215567939546
25,аутсайдер,0.3,0.1,0.30075415401913386
26,аэробика,0.0,0.1,-0.1823215567939546
27,бабушка,0.0,0.1,-0.1823215567939546
28,баджо,0.0,0.1,-0.1823215567939546
29,бадминтон,0.0,0.1,-0.1823215567939546
30,банджа,0.0,0.1,-0.1823215567939546
31,барселона,0.0,0.1,-0.1823215567939546
32,барьер,0.1,0.0,0.1823215567939546
33,бассейн,0.0,0.1,-0.1823215567939546
34,бег,0.0,0.1,-0.1823215567939546
35,бега,0.1,0.0,0.1823215567939546
36,без,0.1,0.0,0.1823215567939546
37,бездушный,0.1,0.0,0.1823215567939546
38,безличный,0.1,0.0,0.1823215567939546
39,беккер,0.0,0.1,-0.1823215567939546
40,берлин,0.0,0.1,-0.1823215567939546
41,бессловесный,0.2,0.1,0.15906469462968728
42,бизнес,0.4,0.1,0.4289956055183586
43,бизнесвумен,0.1,0.0,0.1823215567939546
44,бизнесмен,0.3,0.1,0.30075415401913386
45,билборд,0.1,0.0,0.1823215567939546
46,биолог,0.2,0.1,0.15906469462968728
47,благодаря,0.1,0.0,0.1823215567939546
48,благоприятный,0.1,0.0,0.1823215567939546
49,благородный,0.0,0.1,-0.1823215567939546
50,благотворительный,0.0,0.1,-0.1823215567939546
51,ближний,0.1,0.0,0.1823215567939546
52,близкий,0.0,0.1,-0.1823215567939546
53,блошиный,0.1,0.0,0.1823215567939546
